poiid,poiname,poiname_py,poiname_en,adcode,otype,stype,atype,rank,updatetime,update_flag,max_updatetime,address,address_en,x,y
1009916460,市政院图文,ShiZhengYuanTuWen,,210103,0X7,0x0,0x0,0.5,,1,,文萃路37号,,123.44023,41.764927
1009916893,法信律师,FaXinLvShi,,210103,0X7,0x7,0x1,0.5,,1,,南顺城路35号,,123.454267,41.792757
1009928133,九革发型工作室,JiuGeFaXingGongZuoShi,,210103,0X7,0xB,0x0,0.5,,1,,乐郊路15号,,123.449498,41.792015
1009928285,精工发型秀,JingGongFaXingXiu,,210103,0X7,0xB,0x0,0.5,,1,,南关路57号,,123.456891,41.780155
1009912424,东联印刷,DongLianYinShua,,210103,0X7,0x0,0x0,0.5,,1,,奉天街205号,,123.440774,41.798446
1009918374,梦之美形象设计,MengZhiMeiXingXiangSheJi,,210103,0X7,0xB,0x0,0.5,,1,,大南街359号,,123.456797,41.776832
1009924010,辽宁海天房地产评估事务所有限公司(万寿寺街),LiaoNingHaiTianFangDiChanPingGuShiWuSuoYouXianGongSi(WanShouSiJie),,210103,0X7,0x7,0x3,0.5,,1,,大西路79号沈达大厦10层1003,,123.445124,41.795837
1009924431,雨洁专业干洗店(回民社区东南),YuJieZhuanYeGanXiDian(HuiMinSheQuDongNan),,210103,0X7,0xF,0x0,0.5,,1,,小西路64号,,123.442596,41.80213
1009924436,德利复印社,DeLiFuYinShe,,210103,0X7,0x0,0x0,0.5,,1,,沈州路60号,,123.443403,41.793339
1009924437,宏伟复印社,HongWeiFuYinShe,,210103,0X7,0x0,0x0,0.5,,1,,市府大路432号,,123.445084,41.805421
1009924441,痕迹摄影,HenJiSheYing,,210103,0X7,0xD,0x0,0.5,,1,,十一纬路278号,,123.430943,41.792037
1009924442,华洁洗衣店,HuaJieXiYiDian,,210103,0X7,0xF,0x0,0.5,,1,,文萃路34号,,123.441245,41.765196
1009915511,中国福利彩票(北二经街),ZhongGuoFuLiCaiPiao,,210103,0X7,0x12,0x0,0.5,,1,,北二经街92号,,123.426535,41.791534
1009915515,新加坡南洋艺术学院(报名考试中心),XinJiaPoNanYangYiShuXueYuan(BaoMingKaoShiZhongXin),,210103,0X7,0x0,0x0,0.5,,1,,北站路146号嘉兴国际大厦1822,,123.443853,41.82019
1009915521,国安汽校报名处(南关路),GuoAnQiXiaoBaoMingChu(NanGuanLu),,210103,0X7,0x0,0x0,0.5,,1,,南关路21号,,123.445977,41.781739
1009911689,青青发艺,QingQingFaYi,,210103,0X7,0xB,0x0,0.5,,1,,小南街六合巷88号,,123.454994,41.782853
1009911690,威言房产,WeiYanFangChan,,210103,0X7,0x10,0x0,0.5,,1,,广昌路36号,,123.436434,41.790186
1009911691,杰威印刷设计,JieWeiYinShuaSheJi,,210103,0X7,0x0,0x0,0.5,,1,,奉天街76号,,123.441714,41.789518
1009951785,吉鑫皮衣,JiXinPiYi,,210103,0X6,0xB,0x0,0.5,,1,,市府大路432号,,123.445027,41.805426
1009951787,美之莹食杂店,MeiZhiYingShiZaDian,,210103,0X6,0x2,0x0,0.5,,1,,小南街165号,,123.454614,41.78439
1009952208,智慧园便利店,ZhiHuiYuanBianLiDian,,210103,0X6,0x2,0x0,0.5,,1,,中山路斗姆宫东巷23号,,123.435963,41.802012
1009957916,风雨粮油食品店,FengYuLiangYouShiPinDian,,210103,0X6,0x7,0x3,0.5,,1,,万柳塘路44号,,123.4702,41.782195
1009957925,好田美术画材批发,HaoTianMeiShuHuaCaiPiFa,,210103,0X6,0x8,0x0,0.5,,1,,风雨坛街24号1,,123.448324,41.791675
1009957927,八季香茶庄,BaJiXiangChaZhuang,,210103,0X6,0xC,0x0,0.5,,1,,小西路64号,,123.442398,41.802876
1009947215,大清宝泉南三好水站(北文萃路),DaQingBaoQuanNanSanHaoShuiZhan,,210103,0X6,0xC,0x0,0.5,,1,,北文萃路10号,,123.438628,41.766166
1009947221,绿隆护肤品商行,LvLongHuFuPinShangHang,,210103,0X6,0xE,0x0,0.5,,1,,北三经街10号,,123.429722,41.80897
1009947225,福兴综合商店,FuXingZongHeShangDian,,210103,0X6,0x2,0x0,0.5,,1,,药王庙路2号,,123.439123,41.796774
1009953312,老田日杂综合商店,LaoTianRiZaZongHeShangDian,,210103,0X6,0x2,0x0,0.5,,1,,小南街六合巷88号,,123.454741,41.782871
1009953314,诚信铝塑铁艺(小南街),ChengXinLvSuTieYi(XiaoNanJie),,210103,0X6,0x6,0x1,0.5,,1,,小南街259号,,123.450373,41.778979
1009953728,鲜牛羊肉铺,XianNiuYangRouPu,,210103,0X6,0x7,0x3,0.5,,1,,南通天街9号,,123.457773,41.791056
1009937522,晟源精品水果店,ShengYuanJingPinShuiGuoDian,,210103,0X6,0x7,0x4,0.5,,1,,东纬路45号,,123.430684,41.790507
1009937524,文具礼品店,WenJuLiPinDian,,210103,0X6,0x2,0x0,0.5,,1,,东滨河路144号,,123.453949,41.774217
1009937529,皮尔卡丹羽绒服,PiErKaDanYuRongFu,,210103,0X6,0xB,0x0,0.5,,1,,热闹路76号五爱大厦4层409-410,,123.4531,41.788242
1009943573,华岩录像带出租站,HuaYanLuXiangDaiChuZuZhan,,210103,0X6,0xC,0x6,0.5,,1,,大南街201号,,123.459083,41.784102
1009943985,薯香园地瓜坊五爱街店,ShuXiangYuanDiGuaFangWuAiJieDian,,210103,0X6,0x0,0x0,0.5,,1,,热闹路48号,,123.446025,41.788347
1009943991,TREK,TREK,,210103,0X6,0xC,0x8,0.5,,1,,北中街路134号,,123.458307,41.803421
1009939027,双汇冷鲜肉(乐郊路),ShuangHuiLengXianRou(LeJiaoLu),,210103,0X6,0x7,0x3,0.5,,1,,乐郊路19号,,123.451915,41.791813
1009939028,衣尚外贸服饰,YiShangWaiMaoFuShi,,210103,0X6,0xB,0x0,0.5,,1,,沈州路57号,,123.444315,41.79285
1009939029,贝格尔橱柜,BeiGeErChuGui,,210103,0X6,0x6,0x4,0.5,,1,,西顺城街210号,,123.448246,41.795937
1009945084,贺礼豆业,HeLiDouYe,,210103,0X6,0x7,0x3,0.5,,1,,小南街六合巷120号,,123.4563,41.782439
1009945090,清和源美菱净水器沈河专卖店,QingHeYuanMeiLingJingShuiQiShenHeZhuanMaiDian,,210103,0X6,0xC,0x0,0.5,,1,,南二经街91号,,123.431307,41.783539
1009945502,泰昌模具配件,TaiChangMoJuPeiJian,,210103,0X6,0xC,0x0,0.5,,1,,文化路84号,,123.45103,41.77117
1009945512,便民食杂店(东滨河路),BianMinShiZaDian(DongBinHeLu),,210103,0X6,0x2,0x0,0.5,,1,,东滨河路56号,,123.465031,41.788337
1009947918,龙华门业,LongHuaMenYe,,210103,0X6,0x6,0x1,0.5,,1,,热闹路38号,,123.443448,41.78874
1009947919,华旺阀门经销处,HuaWangFaMenJingXiaoChu,,210103,0X6,0x6,0x3,0.5,,1,,团结路97号,,123.451012,41.812778
1009959570,卡帕(玫瑰大酒店西北),KaPa(MeiGuiDaJiuDianXiBei),,210103,0X6,0x9,0x0,0.5,,1,,中街路168号,,123.458749,41.801629
1009959577,天赐亮杂货店,TianCiLiangZaHuoDian,,210103,0X6,0x2,0x0,0.5,,1,,杏林街21号,,123.436276,41.795676
1009954881,红达豆腐坊,HongDaDouFuFang,,210103,0X6,0x7,0x3,0.5,,1,,南通天街50号,,123.456894,41.783798
1009954886,沈兴金属护栏制网厂,ShenXingJinShuHuLanZhiWangChang,,210103,0X6,0xC,0x0,0.5,,1,,小西路83号,,123.4385,41.801366
1009955294,万众寿衣店,WanZhongShouYiDian,,210103,0X6,0x0,0x0,0.5,,1,,东顺城内街128号,,123.46368,41.799063
1009961453,古歌女装折扣店,GuGeNvZhuangZheKouDian,,210103,0X6,0xB,0x0,0.5,,1,,惠工街63号,,123.436493,41.809007
